,address_full,price,count_beds,count_baths,sq_ft,days_on_zillow,address,city,state_zip,state_abrev,zip_code,date_scraped
659,"6412 Sparkling Brook Dr, Raleigh, NC 27616","$404,000",4,3,"2,496",9,6412 Sparkling Brook Dr, Raleigh,NC 27616,NC,27616,2022-12-03
660,"615 W Peace St #302, Raleigh, NC 27605","$554,900",2,2,974,2,615 W Peace St #302, Raleigh,NC 27605,NC,27605,2022-12-03
661,"6308 Saybrooke Dr, Raleigh, NC 27604","$325,000",3,2,"1,125",6,6308 Saybrooke Dr, Raleigh,NC 27604,NC,27604,2022-12-03
662,"5716 Enoree Ln, Raleigh, NC 27616","$390,000",3,3,"1,838",D,5716 Enoree Ln, Raleigh,NC 27616,NC,27616,2022-12-03
663,"3508 Leonard St, Raleigh, NC 27607","$1,749,500",4,4,"4,250",3,3508 Leonard St, Raleigh,NC 27607,NC,27607,2022-12-03
664,"1109 Easterly Ct, Raleigh, NC 27615","$1,750,000",4,5,"5,220",1,1109 Easterly Ct, Raleigh,NC 27615,NC,27615,2022-12-03
665,"12204 Jarden Ct, Raleigh, NC 27613","$445,000",3,3,"1,827",7,12204 Jarden Ct, Raleigh,NC 27613,NC,27613,2022-12-03
666,"5606 Hamstead Crsg, Raleigh, NC 27612","$269,000",2,2,"1,170",D,5606 Hamstead Crsg, Raleigh,NC 27612,NC,27612,2022-12-03
667,"329 Diversy Way, Raleigh, NC 27617","$499,990",3,3,"1,749",2,329 Diversy Way, Raleigh,NC 27617,NC,27617,2022-12-03
668,"1109 Harper Rd, Raleigh, NC 27603","$315,000",3,2,912,1,1109 Harper Rd, Raleigh,NC 27603,NC,27603,2022-12-03
669,"4105 Fencrest Ct, Raleigh, NC 27613","$1,275,000",5,4,"3,921",1,4105 Fencrest Ct, Raleigh,NC 27613,NC,27613,2022-12-03
670,"820 E Hargett St, Raleigh, NC 27601","$650,000",--,2,950,2,820 E Hargett St, Raleigh,NC 27601,NC,27601,2022-12-03
671,"7886 Spungold St, Raleigh, NC 27617","$337,000",2,4,"2,006",1,7886 Spungold St, Raleigh,NC 27617,NC,27617,2022-12-03
672,"2204 Center Spring Ct, Raleigh, NC 27603","$1,000,000",4,4,"4,602",4,2204 Center Spring Ct, Raleigh,NC 27603,NC,27603,2022-12-03
673,"509 Ortega Rd, Raleigh, NC 27609","$635,000",3,3,"2,062",3,509 Ortega Rd, Raleigh,NC 27609,NC,27609,2022-12-03
674,"2308 Carriage Oaks Dr, Raleigh, NC 27614","$599,900",3,4,"3,428",3,2308 Carriage Oaks Dr, Raleigh,NC 27614,NC,27614,2022-12-03
675,"1303 Slatestone Ct, Raleigh, NC 27615","$399,000",3,3,"1,834",1,1303 Slatestone Ct, Raleigh,NC 27615,NC,27615,2022-12-03
676,"411 W Lenoir St, Raleigh, NC 27601","$1,100,000",3,4,"2,088",1,411 W Lenoir St, Raleigh,NC 27601,NC,27601,2022-12-03
677,"8008 Connestee Ct, Raleigh, NC 27612","$695,000",3,3,"3,022",1,8008 Connestee Ct, Raleigh,NC 27612,NC,27612,2022-12-03
678,"7712 Ohmann Ct, Raleigh, NC 27615","$270,000",2,2,"1,220",8,7712 Ohmann Ct, Raleigh,NC 27615,NC,27615,2022-12-03
679,"301 Fayetteville St UNIT 2907, Raleigh, NC 27601","$780,000",2,2,"1,390",1,301 Fayetteville St UNIT 2907, Raleigh,NC 27601,NC,27601,2022-12-03
680,"7853 Spungold St, Raleigh, NC 27617","$304,900",2,3,"1,270",4,7853 Spungold St, Raleigh,NC 27617,NC,27617,2022-12-03
681,"1305 Nottingham Rd, Raleigh, NC 27607","$1,900,000",--,--,--,4,1305 Nottingham Rd, Raleigh,NC 27607,NC,27607,2022-12-03
